iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HCA","HCA HEALTHCARE INC","Health Care","Equity","509,570,217.38","0.17","509,570,217.38","1,883,182.00","270.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","508,877,265.20","0.17","508,877,265.20","1,353,685.00","375.92","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","508,020,195.28","0.17","508,020,195.28","2,436,314.00","208.52","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","496,548,066.04","0.16","496,548,066.04","4,889,209.00","101.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EL","ESTEE LAUDER INC CLASS A","Consumer Staples","Equity","496,426,226.40","0.16","496,426,226.40","2,057,640.00","241.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","478,660,062.10","0.16","478,660,062.10","2,062,301.00","232.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","476,892,071.74","0.16","476,892,071.74","553,798.00","861.13","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"SHW","SHERWIN WILLIAMS","Materials","Equity","469,107,071.70","0.15","469,107,071.70","2,094,415.00","223.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","464,425,272.22","0.15","464,425,272.22","2,934,386.00","158.27","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","460,789,463.42","0.15","460,789,463.42","1,229,887.00","374.66","United States","NASDAQ","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","460,587,177.00","0.15","460,587,177.00","5,491,025.00","83.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","456,188,225.87","0.15","456,188,225.87","3,440,593.00","132.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","455,105,987.91","0.15","455,105,987.91","1,998,621.00","227.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","455,059,757.90","0.15","455,059,757.90","5,236,591.00","86.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","450,105,308.45","0.15","450,105,308.45","1,216,205.00","370.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
